timestamp,time_step,scenario,source_node,destination_node,router_id,hop_count,path_length,bandwidth_mbps,traffic_interval_sec,active_users,traffic_load_mbps,utilization_percent,queue_occupancy_percent,latency_ms,jitter_ms,throughput_mbps,packet_loss_percent,tx_packets,rx_packets,lost_packets,retransmissions,flow_duration_sec,event_type,peak_hour,failure_event,sla_violation
2026-01-01 09:00:00,1,low,client_3,server_1,router_1,2,client-router-server,8.62,2.4,6,21.88,15.09,14.69,28.4,2.29,8.62,0.01,5139,5138,1,0,35.87,normal,0,0,0
2026-01-01 09:01:00,2,low,client_3,server_1,router_1,2,client-router-server,8.89,1.9,13,51.46,37.49,38.66,36.92,5.33,8.89,0.01,1837,1836,1,0,25.9,normal,0,0,0
2026-01-01 09:02:00,3,low,client_2,server_1,router_1,2,client-router-server,9.8,1.72,14,39.84,14.23,16.3,19.74,3.87,9.8,0.01,2575,2574,1,0,7.52,normal,0,0,0
2026-01-01 09:03:00,4,low,client_2,server_1,router_1,2,client-router-server,9.4,1.74,6,84.15,43.09,46.7,41.48,6.08,9.4,0.01,1584,1583,1,0,34.38,normal,0,0,0
2026-01-01 09:04:00,5,low,client_2,server_1,router_1,2,client-router-server,10.94,2.19,11,40.25,14.27,10.37,25.46,2.38,10.94,0.01,1542,1541,1,0,55.22,normal,0,0,0
2026-01-01 09:05:00,6,low,client_3,server_1,router_1,2,client-router-server,11.92,2.8,10,35.95,16.8,10.08,20.38,7.09,11.92,0.01,5780,5779,1,1,24.91,normal,0,0,0
2026-01-01 09:06:00,7,low,client_1,server_1,router_1,2,client-router-server,11.81,1.56,13,57.01,17.43,10.67,27.41,5.93,11.81,0.01,3059,3058,1,0,42.42,normal,0,0,0
2026-01-01 09:07:00,8,low,client_3,server_1,router_1,2,client-router-server,8.06,2.11,17,40.01,23.52,19.23,38.96,7.97,8.06,0.01,1871,1870,1,1,51.29,normal,0,0,0
2026-01-01 09:08:00,9,low,client_1,server_1,router_1,2,client-router-server,12.27,2.63,7,48.04,26.19,29.93,37.44,5.12,12.27,0.01,3519,3518,1,0,8.19,normal,0,0,0
2026-01-01 09:09:00,10,low,client_1,server_1,router_1,2,client-router-server,12.39,1.96,6,74.89,31.01,18.23,40.37,8.56,12.39,0.01,2735,2734,1,0,44.21,normal,0,0,0
2026-01-01 09:10:00,11,low,client_3,server_1,router_1,2,client-router-server,9.76,1.44,15,48.01,19.64,10.7,20.29,5.96,9.76,0.01,1482,1481,1,0,8.71,normal,0,0,0
2026-01-01 09:11:00,12,low,client_2,server_1,router_1,2,client-router-server,9.93,1.9,6,58.56,30.41,30.6,47.07,6.09,9.93,0.01,1772,1771,1,0,41.24,normal,0,0,0
2026-01-01 09:12:00,13,low,client_2,server_1,router_1,2,client-router-server,10.77,2.05,12,84.79,43.97,23.85,54.77,7.77,10.77,0.01,2148,2147,1,1,15.09,normal,0,0,0
2026-01-01 09:13:00,14,low,client_1,server_1,router_1,2,client-router-server,7.99,2.66,12,80.6,56.58,49.7,43.16,5.34,7.99,0.34,4943,4927,16,6,52.56,normal,0,0,0
2026-01-01 09:14:00,15,low,client_1,server_1,router_1,2,client-router-server,12.13,1.48,11,20.16,10.21,7.14,20.49,6.8,12.13,0.01,2555,2554,1,1,16.97,normal,0,0,0
2026-01-01 09:15:00,16,low,client_3,server_1,router_1,2,client-router-server,7.75,2.72,13,24.57,15.56,17.79,25.57,2.18,7.75,0.01,1556,1555,1,0,27.21,normal,0,0,0
2026-01-01 09:16:00,17,low,client_3,server_1,router_1,2,client-router-server,7.91,2.7,8,63.42,45.14,40.43,46.14,5.54,7.91,0.01,2072,2071,1,1,30.15,normal,0,0,0
2026-01-01 09:17:00,18,low,client_1,server_1,router_1,2,client-router-server,12.48,2.38,5,54.37,14.35,9.32,20.27,8.58,12.48,0.01,2292,2291,1,1,50.86,normal,0,0,0
2026-01-01 09:18:00,19,low,client_3,server_1,router_1,2,client-router-server,11.59,2.4,17,69.05,25.01,24.12,41.27,2.61,11.59,0.01,3231,3230,1,1,38.27,normal,0,0,0
2026-01-01 09:19:00,20,low,client_1,server_1,router_1,2,client-router-server,9.94,2.17,15,67.57,45.01,49.16,40.74,5.61,9.94,0.01,3145,3144,1,0,45.77,normal,0,0,0
2026-01-01 09:20:00,21,low,client_2,server_1,router_1,2,client-router-server,11.92,1.75,13,20.73,11.51,10.15,23.36,5.41,11.92,0.01,1326,1325,1,1,16.55,normal,0,0,0
2026-01-01 09:21:00,22,low,client_1,server_1,router_1,2,client-router-server,9.53,1.87,10,78.51,45.17,27.47,62.96,10.6,9.53,0.01,1203,1202,1,0,45.51,normal,0,0,0
2026-01-01 09:22:00,23,low,client_2,server_1,router_1,2,client-router-server,8.74,2.62,17,70.24,29.23,28.96,35.31,2.68,8.74,0.01,3864,3863,1,1,50.13,normal,0,0,0
2026-01-01 09:23:00,24,low,client_1,server_1,router_1,2,client-router-server,8.89,1.77,5,69.5,25.62,26.68,31.88,6.12,8.89,0.01,1226,1225,1,0,53.24,normal,0,0,0
2026-01-01 09:24:00,25,low,client_3,server_1,router_1,2,client-router-server,9.23,2.53,9,22.87,15.23,12.27,29.04,2.94,9.23,0.01,4572,4571,1,0,33.6,normal,0,0,0
2026-01-01 09:25:00,26,low,client_3,server_1,router_1,2,client-router-server,8.49,1.86,16,90.52,50.38,58.65,74.35,8.37,8.49,0.02,5154,5153,1,1,41.68,normal,0,0,0
2026-01-01 09:26:00,27,low,client_3,server_1,router_1,2,client-router-server,10.82,2.25,9,61.58,25.71,26.32,28.68,6.12,10.82,0.01,2721,2720,1,1,48.22,normal,0,0,0
2026-01-01 09:27:00,28,low,client_2,server_1,router_1,2,client-router-server,10.06,1.71,12,53.13,32.61,38.22,47.49,6.82,10.06,0.01,1765,1764,1,0,42.0,normal,0,0,0
2026-01-01 09:28:00,29,low,client_1,server_1,router_1,2,client-router-server,9.88,1.41,7,21.83,14.14,7.79,21.32,5.86,9.88,0.01,2998,2997,1,0,41.08,normal,0,0,0
2026-01-01 09:29:00,30,low,client_1,server_1,router_1,2,client-router-server,12.29,2.65,17,51.89,21.41,11.46,24.59,7.95,12.29,0.01,5578,5577,1,1,57.25,normal,0,0,0
2026-01-01 09:30:00,31,low,client_3,server_1,router_1,2,client-router-server,11.65,1.78,18,73.95,32.95,37.17,47.77,5.49,11.65,0.01,5270,5269,1,1,39.47,normal,0,0,0
2026-01-01 09:31:00,32,low,client_1,server_1,router_1,2,client-router-server,9.1,1.69,16,41.43,23.49,14.02,26.0,7.32,9.1,0.01,5445,5444,1,1,27.87,normal,0,0,0
2026-01-01 09:32:00,33,low,client_2,server_1,router_1,2,client-router-server,10.98,2.16,11,87.86,51.43,53.28,54.92,3.16,10.98,0.14,4432,4426,6,4,46.11,normal,0,0,0
2026-01-01 09:33:00,34,low,client_3,server_1,router_1,2,client-router-server,9.93,2.23,8,56.62,25.97,25.14,39.93,7.9,9.93,0.01,5375,5374,1,0,54.88,normal,0,0,0
2026-01-01 09:34:00,35,low,client_3,server_1,router_1,2,client-router-server,11.83,2.06,5,26.3,8.29,5.65,16.35,4.52,11.83,0.01,4453,4452,1,1,50.92,normal,0,0,0
2026-01-01 09:35:00,36,low,client_3,server_1,router_1,2,client-router-server,8.62,1.56,13,23.91,9.08,10.62,16.01,1.53,8.62,0.01,2954,2953,1,0,31.05,normal,0,0,0
2026-01-01 09:36:00,37,low,client_1,server_1,router_1,2,client-router-server,8.34,2.4,12,72.46,47.17,48.28,42.31,10.41,8.34,0.01,3555,3554,1,1,26.82,normal,0,0,0
2026-01-01 09:37:00,38,low,client_1,server_1,router_1,2,client-router-server,8.01,2.31,14,71.8,54.59,59.79,66.74,6.16,8.01,0.46,4509,4489,20,11,8.79,normal,0,0,0
2026-01-01 09:38:00,39,low,client_1,server_1,router_1,2,client-router-server,9.67,2.56,18,51.5,23.69,26.63,32.43,2.8,9.67,0.01,5408,5407,1,1,30.57,normal,0,0,0
2026-01-01 09:39:00,40,low,client_3,server_1,router_1,2,client-router-server,12.17,1.9,9,44.17,14.94,12.18,26.26,5.89,12.17,0.01,3662,3661,1,0,31.82,normal,0,0,0
2026-01-01 09:40:00,41,low,client_2,server_1,router_1,2,client-router-server,11.9,1.42,10,40.97,17.98,15.49,22.69,3.49,11.9,0.01,4900,4899,1,1,29.65,normal,0,0,0
2026-01-01 09:41:00,42,low,client_2,server_1,router_1,2,client-router-server,10.82,2.41,8,50.33,20.82,18.48,27.03,9.08,10.82,0.01,3511,3510,1,1,17.68,normal,0,0,0
2026-01-01 09:42:00,43,low,client_2,server_1,router_1,2,client-router-server,10.95,1.65,6,75.72,26.04,26.48,30.75,6.84,10.95,0.01,2590,2589,1,1,17.51,normal,0,0,0
2026-01-01 09:43:00,44,low,client_1,server_1,router_1,2,client-router-server,12.37,1.66,16,60.06,25.31,25.01,27.36,8.33,12.37,0.01,4845,4844,1,1,29.23,normal,0,0,0
2026-01-01 09:44:00,45,low,client_1,server_1,router_1,2,client-router-server,11.61,1.98,9,90.58,35.91,19.82,44.15,2.41,11.61,0.01,3033,3032,1,0,35.69,normal,0,0,0
2026-01-01 09:45:00,46,low,client_3,server_1,router_1,2,client-router-server,9.4,1.77,17,66.38,46.85,33.18,54.68,6.54,9.4,0.01,1812,1811,1,0,39.4,normal,0,0,0
2026-01-01 09:46:00,47,low,client_1,server_1,router_1,2,client-router-server,8.28,2.5,7,37.99,21.26,20.89,29.68,2.02,8.28,0.01,1583,1582,1,0,55.82,normal,0,0,0
2026-01-01 09:47:00,48,low,client_3,server_1,router_1,2,client-router-server,9.63,2.06,14,69.59,37.42,35.67,55.9,7.7,9.63,0.01,5662,5661,1,1,29.15,normal,0,0,0
2026-01-01 09:48:00,49,low,client_2,server_1,router_1,2,client-router-server,10.2,2.34,16,50.19,23.38,21.48,38.2,7.46,10.2,0.01,5712,5711,1,0,59.98,normal,0,0,0
2026-01-01 09:49:00,50,low,client_2,server_1,router_1,2,client-router-server,9.85,2.34,14,23.02,13.1,14.95,19.89,5.86,9.85,0.01,3850,3849,1,1,23.33,normal,0,0,0
2026-01-01 09:50:00,51,low,client_1,server_1,router_1,2,client-router-server,10.81,2.16,10,50.87,21.66,22.36,23.69,2.38,10.81,0.01,5215,5214,1,0,41.17,normal,0,0,0
