timestamp,time_step,scenario,source_node,destination_node,router_id,hop_count,path_length,bandwidth_mbps,traffic_interval_sec,active_users,traffic_load_mbps,utilization_percent,queue_occupancy_percent,latency_ms,jitter_ms,throughput_mbps,packet_loss_percent,tx_packets,rx_packets,lost_packets,retransmissions,flow_duration_sec,event_type,peak_hour,failure_event,sla_violation
2026-01-01 09:00:00,1,congestion,client_1,server_1,router_1,2,client-router-server,1.09,0.07,65,34.76,100.0,95.15,74.89,6.03,1.09,5.08,5221,4956,265,103,18.54,normal,0,0,1
2026-01-01 09:01:00,2,congestion,client_2,server_1,router_1,2,client-router-server,1.24,0.12,65,25.48,100.0,100.0,71.03,8.68,1.24,4.64,3159,3013,146,76,32.31,normal,0,0,1
2026-01-01 09:02:00,3,congestion,client_1,server_1,router_1,2,client-router-server,0.8,0.1,55,65.38,100.0,100.0,101.14,10.82,0.8,5.13,4997,4741,256,214,50.37,normal,0,0,1
2026-01-01 09:03:00,4,congestion,client_2,server_1,router_1,2,client-router-server,0.9,0.14,60,35.46,100.0,100.0,94.55,11.51,0.9,2.49,1571,1532,39,4,32.91,normal,0,0,1
2026-01-01 09:04:00,5,congestion,client_1,server_1,router_1,2,client-router-server,1.18,0.13,58,34.83,100.0,64.88,112.36,7.81,1.18,2.91,4064,3946,118,12,54.41,normal,0,0,1
2026-01-01 09:05:00,6,congestion,client_1,server_1,router_1,2,client-router-server,1.08,0.08,61,37.72,100.0,100.0,128.76,11.99,1.08,5.64,2924,2760,164,105,49.68,normal,0,0,1
2026-01-01 09:06:00,7,congestion,client_1,server_1,router_1,2,client-router-server,0.81,0.1,55,38.38,100.0,100.0,81.82,9.97,0.81,2.08,5987,5863,124,16,56.87,normal,0,0,1
2026-01-01 09:07:00,8,congestion,client_3,server_1,router_1,2,client-router-server,1.05,0.13,63,54.8,100.0,51.14,110.34,10.39,1.05,1.81,5657,5555,102,30,38.3,normal,0,0,1
2026-01-01 09:08:00,9,congestion,client_2,server_1,router_1,2,client-router-server,0.96,0.12,55,63.11,100.0,100.0,109.03,13.22,0.96,2.74,5967,5804,163,134,41.26,normal,0,0,1
2026-01-01 09:09:00,10,congestion,client_2,server_1,router_1,2,client-router-server,0.86,0.12,56,35.82,100.0,60.15,101.29,9.41,0.86,1.98,2670,2618,52,13,12.03,normal,0,0,1
2026-01-01 09:10:00,11,congestion,client_1,server_1,router_1,2,client-router-server,0.78,0.11,67,22.8,100.0,61.59,85.48,3.18,0.78,2.08,1014,993,21,18,23.6,normal,0,0,1
2026-01-01 09:11:00,12,congestion,client_3,server_1,router_1,2,client-router-server,0.98,0.08,57,21.98,81.03,41.64,90.16,6.81,0.98,1.52,4541,4472,69,0,28.93,normal,0,0,1
2026-01-01 09:12:00,13,congestion,client_3,server_1,router_1,2,client-router-server,0.99,0.07,67,28.78,100.0,84.54,84.1,11.3,0.99,4.27,4997,4784,213,105,17.99,normal,0,0,1
2026-01-01 09:13:00,14,congestion,client_3,server_1,router_1,2,client-router-server,1.14,0.14,62,48.65,100.0,59.6,107.9,12.67,1.14,3.69,5500,5298,202,140,9.88,normal,0,0,1
2026-01-01 09:14:00,15,congestion,client_1,server_1,router_1,2,client-router-server,1.24,0.11,59,30.97,100.0,77.51,131.68,5.29,1.24,1.81,1832,1799,33,15,37.41,normal,0,0,1
2026-01-01 09:15:00,16,congestion,client_3,server_1,router_1,2,client-router-server,0.93,0.11,63,43.15,100.0,64.15,127.23,9.29,0.93,2.65,2535,2468,67,36,5.65,normal,0,0,1
2026-01-01 09:16:00,17,congestion,client_3,server_1,router_1,2,client-router-server,1.0,0.11,63,77.24,100.0,65.52,63.67,12.28,1.0,2.17,1418,1388,30,1,50.35,normal,0,0,1
2026-01-01 09:17:00,18,congestion,client_2,server_1,router_1,2,client-router-server,1.1,0.08,59,90.0,100.0,100.0,95.75,9.4,1.1,3.93,1258,1209,49,12,52.84,normal,0,0,1
2026-01-01 09:18:00,19,congestion,client_1,server_1,router_1,2,client-router-server,0.93,0.08,63,54.74,100.0,96.68,124.05,9.96,0.93,2.24,3971,3883,88,79,19.58,normal,0,0,1
2026-01-01 09:19:00,20,congestion,client_1,server_1,router_1,2,client-router-server,1.2,0.12,61,63.14,100.0,65.92,107.13,8.7,1.2,3.23,3214,3111,103,87,20.79,normal,0,0,1
2026-01-01 09:20:00,21,congestion,client_2,server_1,router_1,2,client-router-server,1.08,0.12,60,47.28,100.0,58.98,118.57,8.56,1.08,5.33,2082,1972,110,59,20.43,normal,0,0,1
2026-01-01 09:21:00,22,congestion,client_2,server_1,router_1,2,client-router-server,0.98,0.12,62,89.61,100.0,90.53,86.69,10.8,0.98,1.94,2855,2800,55,25,8.08,normal,0,0,1
2026-01-01 09:22:00,23,congestion,client_2,server_1,router_1,2,client-router-server,0.96,0.14,59,57.38,100.0,71.51,106.91,4.39,0.96,1.63,4729,4652,77,6,6.29,normal,0,0,1
2026-01-01 09:23:00,24,congestion,client_2,server_1,router_1,2,client-router-server,1.22,0.13,67,24.87,100.0,100.0,80.14,10.04,1.22,4.53,5613,5359,254,159,49.35,normal,0,0,1
2026-01-01 09:24:00,25,congestion,client_1,server_1,router_1,2,client-router-server,1.17,0.09,55,78.01,100.0,86.76,105.23,9.55,1.17,5.72,1603,1512,91,89,8.75,normal,0,0,1
2026-01-01 09:25:00,26,congestion,client_3,server_1,router_1,2,client-router-server,1.25,0.09,57,92.29,100.0,100.0,75.76,9.59,1.25,4.79,2298,2188,110,94,47.54,normal,0,0,1
2026-01-01 09:26:00,27,congestion,client_1,server_1,router_1,2,client-router-server,0.97,0.11,66,25.81,100.0,64.83,125.47,9.96,0.97,3.43,4038,3900,138,74,42.67,normal,0,0,1
2026-01-01 09:27:00,28,congestion,client_1,server_1,router_1,2,client-router-server,1.08,0.12,62,61.78,100.0,91.28,99.38,8.66,1.08,1.86,4943,4852,91,88,12.2,normal,0,0,1
2026-01-01 09:28:00,29,congestion,client_1,server_1,router_1,2,client-router-server,0.97,0.13,63,74.89,100.0,94.07,127.51,7.5,0.97,4.69,4627,4410,217,184,16.64,normal,0,0,1
2026-01-01 09:29:00,30,congestion,client_3,server_1,router_1,2,client-router-server,0.92,0.14,63,28.21,100.0,93.08,96.54,7.48,0.92,2.1,2442,2391,51,43,34.62,normal,0,0,1
2026-01-01 09:30:00,31,congestion,client_3,server_1,router_1,2,client-router-server,1.04,0.13,55,56.12,100.0,99.7,98.55,9.86,1.04,4.38,2171,2076,95,35,23.9,normal,0,0,1
2026-01-01 09:31:00,32,congestion,client_1,server_1,router_1,2,client-router-server,0.79,0.13,66,29.67,100.0,55.88,73.03,11.8,0.79,3.04,3800,3685,115,94,47.84,normal,0,0,1
2026-01-01 09:32:00,33,congestion,client_2,server_1,router_1,2,client-router-server,0.82,0.08,58,42.95,100.0,86.9,118.26,13.25,0.82,4.95,1292,1229,63,44,8.81,normal,0,0,1
2026-01-01 09:33:00,34,congestion,client_3,server_1,router_1,2,client-router-server,1.13,0.13,67,25.62,100.0,100.0,123.32,11.29,1.13,2.77,5236,5091,145,63,24.39,normal,0,0,1
2026-01-01 09:34:00,35,congestion,client_1,server_1,router_1,2,client-router-server,0.99,0.12,62,24.55,100.0,55.2,103.07,8.1,0.99,2.54,1875,1828,47,31,53.62,normal,0,0,1
2026-01-01 09:35:00,36,congestion,client_1,server_1,router_1,2,client-router-server,0.84,0.07,67,85.3,100.0,100.0,136.62,12.0,0.84,5.91,1653,1556,97,86,10.79,normal,0,0,1
2026-01-01 09:36:00,37,congestion,client_2,server_1,router_1,2,client-router-server,0.95,0.08,57,41.59,100.0,56.62,114.02,11.84,0.95,5.28,5407,5122,285,147,54.88,normal,0,0,1
2026-01-01 09:37:00,38,congestion,client_1,server_1,router_1,2,client-router-server,1.25,0.09,65,87.46,100.0,58.2,114.66,11.78,1.25,5.23,5283,5007,276,213,44.66,normal,0,0,1
2026-01-01 09:38:00,39,congestion,client_3,server_1,router_1,2,client-router-server,0.95,0.1,61,72.13,100.0,88.0,95.5,12.23,0.95,4.49,3329,3180,149,82,25.66,normal,0,0,1
2026-01-01 09:39:00,40,congestion,client_3,server_1,router_1,2,client-router-server,0.93,0.13,61,89.79,100.0,100.0,114.22,12.97,0.93,4.22,1550,1485,65,60,58.05,normal,0,0,1
2026-01-01 09:40:00,41,congestion,client_1,server_1,router_1,2,client-router-server,0.96,0.12,68,72.14,100.0,70.22,132.06,10.32,0.96,1.91,5006,4911,95,95,7.86,normal,0,0,1
2026-01-01 09:41:00,42,congestion,client_2,server_1,router_1,2,client-router-server,1.01,0.07,60,43.22,100.0,100.0,109.98,12.62,1.01,2.76,5973,5809,164,22,6.0,normal,0,0,1
2026-01-01 09:42:00,43,congestion,client_1,server_1,router_1,2,client-router-server,0.81,0.11,58,82.16,100.0,85.94,117.31,6.9,0.81,3.48,3108,3000,108,36,51.58,normal,0,0,1
2026-01-01 09:43:00,44,congestion,client_1,server_1,router_1,2,client-router-server,0.96,0.09,66,76.56,100.0,56.08,128.57,10.13,0.96,3.26,3328,3220,108,19,35.69,normal,0,0,1
2026-01-01 09:44:00,45,congestion,client_2,server_1,router_1,2,client-router-server,1.18,0.11,59,22.87,84.29,68.3,73.04,5.09,1.18,4.07,5471,5249,222,214,12.14,normal,0,0,0
2026-01-01 09:45:00,46,congestion,client_1,server_1,router_1,2,client-router-server,0.92,0.11,66,38.4,100.0,82.19,83.61,14.3,0.92,3.23,4922,4764,158,158,38.03,normal,0,0,1
2026-01-01 09:46:00,47,congestion,client_2,server_1,router_1,2,client-router-server,0.79,0.08,68,77.03,100.0,77.77,73.09,8.78,0.79,4.82,1228,1169,59,29,48.02,normal,0,0,1
2026-01-01 09:47:00,48,congestion,client_1,server_1,router_1,2,client-router-server,0.98,0.07,65,39.71,100.0,80.36,70.23,11.03,0.98,5.36,1874,1774,100,7,38.01,normal,0,0,1
2026-01-01 09:48:00,49,congestion,client_3,server_1,router_1,2,client-router-server,1.01,0.08,56,28.74,100.0,98.04,108.44,12.61,1.01,5.57,5932,5602,330,143,30.46,normal,0,0,1
2026-01-01 09:49:00,50,congestion,client_3,server_1,router_1,2,client-router-server,1.21,0.08,68,68.08,100.0,77.36,66.25,13.79,1.21,1.56,2809,2766,43,14,33.59,normal,0,0,1
2026-01-01 09:50:00,51,congestion,client_1,server_1,router_1,2,client-router-server,1.1,0.11,65,83.55,100.0,76.18,97.32,8.26,1.1,2.11,3729,3651,78,78,12.26,normal,0,0,1
2026-01-01 09:51:00,52,congestion,client_1,server_1,router_1,2,client-router-server,1.21,0.12,65,24.85,100.0,81.1,69.46,9.48,1.21,4.97,5065,4814,251,103,31.78,normal,0,0,1
2026-01-01 09:52:00,53,congestion,client_2,server_1,router_1,2,client-router-server,0.81,0.08,63,88.51,100.0,85.87,84.97,10.93,0.81,3.73,1322,1273,49,25,43.68,normal,0,0,1
2026-01-01 09:53:00,54,congestion,client_3,server_1,router_1,2,client-router-server,1.25,0.11,60,52.05,100.0,71.71,130.28,11.79,1.25,2.59,1149,1120,29,13,46.21,normal,0,0,1
2026-01-01 09:54:00,55,congestion,client_3,server_1,router_1,2,client-router-server,0.86,0.14,62,88.85,100.0,100.0,90.92,4.62,0.86,4.01,3896,3740,156,52,8.86,normal,0,0,1
2026-01-01 09:55:00,56,congestion,client_1,server_1,router_1,2,client-router-server,0.85,0.13,55,76.41,100.0,71.17,102.16,10.9,0.85,5.04,4257,4043,214,17,20.15,normal,0,0,1
2026-01-01 09:56:00,57,congestion,client_1,server_1,router_1,2,client-router-server,0.86,0.11,66,53.11,100.0,100.0,97.3,6.82,0.86,5.89,3940,3708,232,122,42.36,normal,0,0,1
2026-01-01 09:57:00,58,congestion,client_1,server_1,router_1,2,client-router-server,1.08,0.12,66,48.83,100.0,100.0,80.46,10.16,1.08,5.22,4502,4267,235,13,19.31,normal,0,0,1
2026-01-01 09:58:00,59,congestion,client_2,server_1,router_1,2,client-router-server,1.12,0.12,64,89.97,100.0,99.74,74.78,15.04,1.12,5.08,5588,5305,283,260,9.38,normal,0,0,1
