timestamp,time_step,scenario,source_node,destination_node,router_id,hop_count,path_length,bandwidth_mbps,traffic_interval_sec,active_users,traffic_load_mbps,utilization_percent,queue_occupancy_percent,latency_ms,jitter_ms,throughput_mbps,packet_loss_percent,tx_packets,rx_packets,lost_packets,retransmissions,flow_duration_sec,event_type,peak_hour,failure_event,sla_violation
2026-01-01 09:00:00,1,high,client_3,server_1,router_1,2,client-router-server,2.4,0.56,41,68.04,96.91,76.63,86.28,9.7,2.4,4.75,3882,3698,184,87,41.4,normal,0,0,1
2026-01-01 09:01:00,2,high,client_3,server_1,router_1,2,client-router-server,2.28,0.42,52,22.24,31.64,35.61,44.0,8.66,2.28,0.01,1219,1218,1,0,8.92,normal,0,0,0
2026-01-01 09:02:00,3,high,client_2,server_1,router_1,2,client-router-server,1.85,0.58,41,31.35,62.73,59.39,72.21,7.57,1.85,1.17,4004,3958,46,23,23.81,normal,0,0,0
2026-01-01 09:03:00,4,high,client_3,server_1,router_1,2,client-router-server,2.0,0.4,42,44.49,92.43,80.62,90.99,7.55,2.0,2.45,3209,3131,78,27,29.08,normal,0,0,1
2026-01-01 09:04:00,5,high,client_3,server_1,router_1,2,client-router-server,1.63,0.53,42,78.66,100.0,50.25,80.53,7.25,1.63,2.23,1505,1472,33,6,44.83,normal,0,0,1
2026-01-01 09:05:00,6,high,client_2,server_1,router_1,2,client-router-server,1.73,0.48,40,66.72,100.0,52.35,100.62,15.78,1.73,4.81,2598,2474,124,101,14.87,normal,0,0,1
2026-01-01 09:06:00,7,high,client_1,server_1,router_1,2,client-router-server,2.39,0.44,46,74.62,100.0,93.99,115.91,10.39,2.39,3.93,3877,3725,152,32,16.96,normal,0,0,1
2026-01-01 09:07:00,8,high,client_2,server_1,router_1,2,client-router-server,2.3,0.42,41,27.76,74.58,72.65,56.09,8.68,2.3,2.39,4374,4270,104,18,18.47,normal,0,0,0
2026-01-01 09:08:00,9,high,client_2,server_1,router_1,2,client-router-server,1.82,0.59,41,72.24,100.0,83.09,122.11,11.68,1.82,3.02,2919,2831,88,10,57.21,normal,0,0,1
2026-01-01 09:09:00,10,high,client_1,server_1,router_1,2,client-router-server,2.0,0.68,44,87.41,100.0,70.08,69.52,13.38,2.0,3.56,5598,5399,199,119,18.96,normal,0,0,1
2026-01-01 09:10:00,11,high,client_3,server_1,router_1,2,client-router-server,1.69,0.51,53,44.94,100.0,100.0,81.51,8.29,1.69,3.69,4859,4680,179,170,52.66,normal,0,0,1
2026-01-01 09:11:00,12,high,client_1,server_1,router_1,2,client-router-server,1.62,0.41,48,77.22,100.0,64.46,108.6,9.81,1.62,2.18,2822,2761,61,23,55.81,normal,0,0,1
2026-01-01 09:12:00,13,high,client_1,server_1,router_1,2,client-router-server,1.79,0.45,47,57.03,100.0,52.1,106.13,8.99,1.79,3.98,5496,5278,218,64,27.54,normal,0,0,1
2026-01-01 09:13:00,14,high,client_1,server_1,router_1,2,client-router-server,2.22,0.45,51,32.7,65.78,61.95,54.68,7.19,2.22,1.31,2083,2056,27,3,53.84,normal,0,0,0
2026-01-01 09:14:00,15,high,client_2,server_1,router_1,2,client-router-server,2.24,0.56,41,75.59,100.0,83.15,93.23,9.14,2.24,5.36,4004,3790,214,67,21.16,normal,0,0,1
2026-01-01 09:15:00,16,high,client_1,server_1,router_1,2,client-router-server,1.96,0.64,52,79.72,100.0,93.26,97.66,9.67,1.96,1.55,2379,2343,36,15,57.21,normal,0,0,1
2026-01-01 09:16:00,17,high,client_2,server_1,router_1,2,client-router-server,2.48,0.49,46,70.07,100.0,50.67,97.74,11.42,2.48,1.89,1256,1233,23,12,22.61,normal,0,0,1
2026-01-01 09:17:00,18,high,client_1,server_1,router_1,2,client-router-server,1.99,0.55,42,84.61,100.0,58.08,118.61,7.25,1.99,3.06,4720,4576,144,45,48.81,normal,0,0,1
2026-01-01 09:18:00,19,high,client_2,server_1,router_1,2,client-router-server,1.65,0.49,49,41.84,100.0,92.48,133.18,6.27,1.65,3.98,4919,4724,195,99,9.77,normal,0,0,1
2026-01-01 09:19:00,20,high,client_3,server_1,router_1,2,client-router-server,2.36,0.43,47,32.13,91.44,99.53,123.97,11.2,2.36,2.12,5093,4986,107,74,35.78,normal,0,0,1
2026-01-01 09:20:00,21,high,client_3,server_1,router_1,2,client-router-server,2.31,0.48,44,23.57,38.55,33.07,42.62,7.03,2.31,0.01,4187,4186,1,1,33.73,normal,0,0,0
2026-01-01 09:21:00,22,high,client_3,server_1,router_1,2,client-router-server,2.09,0.36,40,60.66,100.0,66.7,65.11,5.16,2.09,5.99,2652,2494,158,104,41.25,normal,0,0,1
2026-01-01 09:22:00,23,high,client_2,server_1,router_1,2,client-router-server,1.54,0.43,53,20.43,87.28,71.29,64.49,4.32,1.54,3.82,2446,2353,93,63,50.53,normal,0,0,0
2026-01-01 09:23:00,24,high,client_1,server_1,router_1,2,client-router-server,2.22,0.61,50,30.79,69.53,48.31,75.24,6.29,2.22,1.32,3018,2979,39,15,56.69,normal,0,0,0
2026-01-01 09:24:00,25,high,client_3,server_1,router_1,2,client-router-server,2.18,0.36,43,30.6,51.87,59.21,45.69,11.56,2.18,0.16,4411,4404,7,1,41.56,normal,0,0,0
2026-01-01 09:25:00,26,high,client_3,server_1,router_1,2,client-router-server,2.06,0.41,53,76.34,100.0,51.36,74.82,6.82,2.06,2.16,3475,3400,75,42,50.6,normal,0,0,1
2026-01-01 09:26:00,27,high,client_2,server_1,router_1,2,client-router-server,1.73,0.37,49,39.42,80.56,79.97,98.03,8.2,1.73,1.2,3853,3807,46,15,13.03,normal,0,0,1
