flow_id,timestamp,time_step,scenario,source_node,destination_node,router_id,hop_count,path_length,bandwidth_mbps,traffic_interval_sec,active_users,traffic_load_mbps,utilization_percent,queue_occupancy_percent,latency_ms,jitter_ms,throughput_mbps,packet_loss_percent,tx_packets,rx_packets,lost_packets,retransmissions,flow_duration_sec,event_type,peak_hour,failure_event,sla_violation
1,2026-01-01 09:00:00,1,low,client_3,server_1,router_1,2,client-router-server,8.62,2.4,6,21.88,15.09,14.69,28.4,2.29,8.62,0.01,5139,5138,1,0,35.87,normal,0,0,0
2,2026-01-01 09:00:00,1,medium,client_3,server_1,router_1,2,client-router-server,5.62,1.23,24,50.81,36.03,32.59,41.35,4.01,5.62,0.01,5835,5834,1,0,38.88,normal,0,0,0
3,2026-01-01 09:00:00,1,high,client_3,server_1,router_1,2,client-router-server,2.4,0.56,41,68.04,96.91,76.63,86.28,9.7,2.4,4.75,3882,3698,184,87,41.4,normal,0,0,1
4,2026-01-01 09:00:00,1,congestion,client_1,server_1,router_1,2,client-router-server,1.09,0.07,65,34.76,100.0,95.15,74.89,6.03,1.09,5.08,5221,4956,265,103,18.54,normal,0,0,1
5,2026-01-01 09:01:00,2,low,client_3,server_1,router_1,2,client-router-server,8.89,1.9,13,51.46,37.49,38.66,36.92,5.33,8.89,0.01,1837,1836,1,0,25.9,normal,0,0,0
6,2026-01-01 09:01:00,2,medium,client_3,server_1,router_1,2,client-router-server,4.64,1.05,32,69.3,58.22,67.68,50.22,7.65,4.64,0.73,1724,1712,12,0,18.47,normal,0,0,0
7,2026-01-01 09:01:00,2,high,client_3,server_1,router_1,2,client-router-server,2.28,0.42,52,22.24,31.64,35.61,44.0,8.66,2.28,0.01,1219,1218,1,0,8.92,normal,0,0,0
8,2026-01-01 09:01:00,2,congestion,client_2,server_1,router_1,2,client-router-server,1.24,0.12,65,25.48,100.0,100.0,71.03,8.68,1.24,4.64,3159,3013,146,76,32.31,normal,0,0,1
9,2026-01-01 09:02:00,3,low,client_2,server_1,router_1,2,client-router-server,9.8,1.72,14,39.84,14.23,16.3,19.74,3.87,9.8,0.01,2575,2574,1,0,7.52,normal,0,0,0
10,2026-01-01 09:02:00,3,medium,client_1,server_1,router_1,2,client-router-server,5.48,0.89,27,29.81,33.18,34.55,52.08,4.8,5.48,0.01,1156,1155,1,0,26.26,normal,0,0,0
11,2026-01-01 09:02:00,3,high,client_2,server_1,router_1,2,client-router-server,1.85,0.58,41,31.35,62.73,59.39,72.21,7.57,1.85,1.17,4004,3958,46,23,23.81,normal,0,0,0
12,2026-01-01 09:02:00,3,congestion,client_1,server_1,router_1,2,client-router-server,0.8,0.1,55,65.38,100.0,100.0,101.14,10.82,0.8,5.13,4997,4741,256,214,50.37,normal,0,0,1
13,2026-01-01 09:03:00,4,low,client_2,server_1,router_1,2,client-router-server,9.4,1.74,6,84.15,43.09,46.7,41.48,6.08,9.4,0.01,1584,1583,1,0,34.38,normal,0,0,0
14,2026-01-01 09:03:00,4,medium,client_1,server_1,router_1,2,client-router-server,4.46,1.19,21,29.89,41.12,37.6,42.54,8.21,4.46,0.01,2180,2179,1,0,26.37,normal,0,0,0
15,2026-01-01 09:03:00,4,high,client_3,server_1,router_1,2,client-router-server,2.0,0.4,42,44.49,92.43,80.62,90.99,7.55,2.0,2.45,3209,3131,78,27,29.08,normal,0,0,1
16,2026-01-01 09:03:00,4,congestion,client_2,server_1,router_1,2,client-router-server,0.9,0.14,60,35.46,100.0,100.0,94.55,11.51,0.9,2.49,1571,1532,39,4,32.91,normal,0,0,1
17,2026-01-01 09:04:00,5,low,client_2,server_1,router_1,2,client-router-server,10.94,2.19,11,40.25,14.27,10.37,25.46,2.38,10.94,0.01,1542,1541,1,0,55.22,normal,0,0,0
18,2026-01-01 09:04:00,5,medium,client_2,server_1,router_1,2,client-router-server,4.23,1.17,32,50.41,40.94,24.44,57.94,9.29,4.23,0.01,4239,4238,1,1,32.81,normal,0,0,0
19,2026-01-01 09:04:00,5,high,client_3,server_1,router_1,2,client-router-server,1.63,0.53,42,78.66,100.0,50.25,80.53,7.25,1.63,2.23,1505,1472,33,6,44.83,normal,0,0,1
20,2026-01-01 09:04:00,5,congestion,client_1,server_1,router_1,2,client-router-server,1.18,0.13,58,34.83,100.0,64.88,112.36,7.81,1.18,2.91,4064,3946,118,12,54.41,normal,0,0,1
21,2026-01-01 09:05:00,6,low,client_3,server_1,router_1,2,client-router-server,11.92,2.8,10,35.95,16.8,10.08,20.38,7.09,11.92,0.01,5780,5779,1,1,24.91,normal,0,0,0
22,2026-01-01 09:05:00,6,medium,client_3,server_1,router_1,2,client-router-server,6.03,0.85,21,33.61,32.74,29.37,31.0,6.47,6.03,0.01,5511,5510,1,0,17.01,normal,0,0,0
23,2026-01-01 09:05:00,6,high,client_2,server_1,router_1,2,client-router-server,1.73,0.48,40,66.72,100.0,52.35,100.62,15.78,1.73,4.81,2598,2474,124,101,14.87,normal,0,0,1
